1234567890,Deposit,500,2025-1-2,Deposit 500
1234567890,Withdraw,200,2025-1-10,Withdraw 200
1234567890,Transfer,600,2025-1-15,Transfer 600
1234567890,Deposit,-9999,2025-01-02T01:04:11.212746900,deposit -9999
1234567890,Deposit,+111,2025-01-02T01:12:58.382282200,deposit +111
1234567890,Deposit,+20,2025-01-02T01:37:05.664332100,deposit +20
1234567890,Withdraw,+20,2025-01-02T01:37:33.630581900,withdraw +20
1234567890,Transfer Sender,-900,2025-01-02T01:39:46.515245200,transfersender -900
1234567890,Transfer Sender,-10,2025-01-02T01:41:14.246878,transfersender -10
1234567890,Deposit,+110,2025-01-02T04:48:16.270431600,deposit +110
1234567890,Withdraw,-12,2025-01-02T04:48:29.571322500,withdraw -12
1234567890,Transfer Sender,-1.66,2025-01-02T04:49:30.127921700,transfersender -1.66
1234567890,Withdraw,-400,2025-01-02T11:56:16.589506300,withdraw -400
